pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,818.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,821.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,823.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,817.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,821.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,821.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,822.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,818.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,821.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,823.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,817.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,821.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,821.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,822.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,818.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,821.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,823.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,817.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,821.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,821.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,822.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,818.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,821.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,823.37
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,817.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,821.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,821.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,822.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,818.25
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,821.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,823.37
